saccade_ser,Id,QuestionsNum,Answer,stime,etime,sxp,syp,exp,eyp,dur,ampl
768,00a17d6c125942fcadcdf62eeec74ae2,149,1,19002673,19002752,511.96665599999994,677.208492,822.752832,775.7337600000001,79,326.02956250495885
769,00a17d6c125942fcadcdf62eeec74ae2,150,1,19002849,19002977,822.752832,775.7337600000001,1222.51488,996.58998,128,456.71343852994147
770,00a17d6c125942fcadcdf62eeec74ae2,150,1,19003248,19003312,1222.51488,996.58998,1124.442624,997.4265479999999,64,98.07582394733242
771,00a17d6c125942fcadcdf62eeec74ae2,150,1,19003521,19003648,1124.442624,997.4265479999999,155.24682239999999,1002.11202,127,969.2071272369645
772,00a17d6c125942fcadcdf62eeec74ae2,150,1,19003825,19003985,155.24682239999999,1002.11202,1524.143424,1000.5651359999999,160,1368.8974756066061
773,00a17d6c125942fcadcdf62eeec74ae2,150,1,19004160,19004256,1524.143424,1000.5651359999999,1885.421184,1012.12578,96,361.4626790697932
774,00a17d6c125942fcadcdf62eeec74ae2,150,1,19004415,19004624,1885.421184,1012.12578,633.519168,595.290384,209,1319.4735332788382
775,00a17d6c125942fcadcdf62eeec74ae2,150,1,19004833,19004864,633.519168,595.290384,447.42528,730.948536,31,230.2912706878219
776,00a17d6c125942fcadcdf62eeec74ae2,150,1,19005232,19005360,447.42528,730.948536,612.4323840000001,383.547096,128,384.5973282337521
777,00a17d6c125942fcadcdf62eeec74ae2,150,1,19005489,19005536,612.4323840000001,383.547096,862.808448,351.746064,47,252.38755726144086
