saccade_ser,Id,QuestionsNum,Answer,stime,etime,sxp,syp,exp,eyp,dur,ampl
43,00aad6b578474af5863466361fdf649f,4,2,38935080,38935109,942.024576,827.5963320000001,779.740224,852.1822080000001,29,164.1361514193241
44,00aad6b578474af5863466361fdf649f,4,2,38935236,38935268,779.740224,852.1822080000001,960.716352,845.933328,32,181.08397888031615
45,00aad6b578474af5863466361fdf649f,4,2,38935541,38935572,960.716352,845.933328,697.9463039999999,490.23208800000003,31,442.2346325916367
46,00aad6b578474af5863466361fdf649f,5,2,38935845,38935972,697.9463039999999,490.23208800000003,515.84256,440.03995199999997,127,188.8942140327755
47,00aad6b578474af5863466361fdf649f,5,2,38936116,38936180,515.84256,440.03995199999997,688.741824,462.080484,64,174.29842380981157
48,00aad6b578474af5863466361fdf649f,5,2,38936340,38936388,688.741824,462.080484,788.1628800000001,433.289628,48,103.50584411214615
49,00aad6b578474af5863466361fdf649f,5,2,38936580,38936708,788.1628800000001,433.289628,520.141824,832.704192,128,481.0065284324791
50,00aad6b578474af5863466361fdf649f,5,2,38936884,38936981,520.141824,832.704192,942.2584320000001,822.4677360000001,97,422.24070834165866
51,00aad6b578474af5863466361fdf649f,5,2,38937558,38937716,942.2584320000001,822.4677360000001,801.90912,479.08368,158,370.9589455639054
52,00aad6b578474af5863466361fdf649f,5,2,38937892,38938084,801.90912,479.08368,555.601536,461.669976,192,246.92238258796363
53,00aad6b578474af5863466361fdf649f,5,2,38938201,38938485,555.601536,461.669976,752.170752,475.906536,284,197.08408438909584
54,00aad6b578474af5863466361fdf649f,5,2,38938724,38938932,752.170752,475.906536,973.20192,881.4991319999999,208,461.90922393633076
55,00aad6b578474af5863466361fdf649f,5,2,38939028,38939188,973.20192,881.4991319999999,560.56224,851.157504,160,413.7536947269387
56,00aad6b578474af5863466361fdf649f,5,2,38939332,38939492,560.56224,851.157504,669.680448,454.30372800000004,160,411.5819515510725
57,00aad6b578474af5863466361fdf649f,5,2,38939605,38939636,669.680448,454.30372800000004,766.295232,457.57720800000004,31,96.67022374380373
58,00aad6b578474af5863466361fdf649f,5,2,38939940,38940132,766.295232,457.57720800000004,978.3588480000001,814.6823400000001,192,415.3252370513173
59,00aad6b578474af5863466361fdf649f,5,2,38940308,38940501,978.3588480000001,814.6823400000001,717.8682239999999,409.5387,193,481.66039304094653
60,00aad6b578474af5863466361fdf649f,6,1,38940596,38940676,717.8682239999999,409.5387,573.261696,470.364084,80,156.87821798759128
61,00aad6b578474af5863466361fdf649f,6,1,38941012,38941268,573.261696,470.364084,739.673664,468.558972,256,166.4217579614083
62,00aad6b578474af5863466361fdf649f,6,1,38941477,38941605,739.673664,468.558972,528.2135040000001,839.6658719999999,128,427.12495887601267
63,00aad6b578474af5863466361fdf649f,6,1,38941845,38942549,528.2135040000001,839.6658719999999,686.212416,438.14185200000003,704,431.4918247547038
64,00aad6b578474af5863466361fdf649f,7,1,38942981,38943012,686.212416,438.14185200000003,561.786624,428.313312,31,124.81337233389243
65,00aad6b578474af5863466361fdf649f,7,1,38943124,38943157,561.786624,428.313312,681.81024,420.10974000000004,33,120.30364496254738
66,00aad6b578474af5863466361fdf649f,7,1,38943252,38943412,681.81024,420.10974000000004,834.653568,462.45448799999997,160,158.6006323987993
67,00aad6b578474af5863466361fdf649f,7,1,38943685,38943780,834.653568,462.45448799999997,524.710272,809.2727279999999,95,465.13195797756265
68,00aad6b578474af5863466361fdf649f,7,1,38944020,38944164,524.710272,809.2727279999999,627.298368,428.058108,144,394.77703066750166
68,00aad6b578474af5863466361fdf649f,8,1,38944020,38944164,524.710272,809.2727279999999,627.298368,428.058108,144,394.77703066750166
69,00aad6b578474af5863466361fdf649f,8,1,38944421,38944452,627.298368,428.058108,672.0666239999999,414.090144,31,46.896703120654735
70,00aad6b578474af5863466361fdf649f,8,1,38944564,38944660,672.0666239999999,414.090144,551.978112,435.825576,96,122.0396645300238
71,00aad6b578474af5863466361fdf649f,8,1,38944788,38944820,551.978112,435.825576,730.281216,446.731848,32,178.63634474813009
72,00aad6b578474af5863466361fdf649f,8,1,38944997,38945061,730.281216,446.731848,566.776512,468.50507999999996,64,164.94805807239266
73,00aad6b578474af5863466361fdf649f,9,1,38945189,38945236,566.776512,468.50507999999996,554.8323839999999,474.470244,47,13.350856722595834
74,00aad6b578474af5863466361fdf649f,9,1,38945332,38945396,554.8323839999999,474.470244,683.298432,408.99492000000004,64,144.189262920799
75,00aad6b578474af5863466361fdf649f,9,1,38945493,38945572,683.298432,408.99492000000004,759.88512,453.08851200000004,79,88.37287838625494
76,00aad6b578474af5863466361fdf649f,9,1,38945700,38945797,759.88512,453.08851200000004,620.138112,423.04766400000005,97,142.93942351048986
77,00aad6b578474af5863466361fdf649f,9,1,38946002,38946308,620.138112,423.04766400000005,613.7498879999999,465.91351199999997,306,43.33924700122596
77,00aad6b578474af5863466361fdf649f,10,1,38946002,38946308,620.138112,423.04766400000005,613.7498879999999,465.91351199999997,306,43.33924700122596
78,00aad6b578474af5863466361fdf649f,10,1,38946500,38946740,613.7498879999999,465.91351199999997,744.681216,441.825192,240,133.12873398431304
79,00aad6b578474af5863466361fdf649f,10,1,38947236,38947302,744.681216,441.825192,613.0379519999999,470.350692,66,134.69837826352517
80,00aad6b578474af5863466361fdf649f,11,1,38947748,38947781,613.0379519999999,470.350692,791.242368,452.61288,33,179.08501851480614
81,00aad6b578474af5863466361fdf649f,11,1,38948245,38948452,791.242368,452.61288,600.908736,459.630288,207,190.46295042697915
82,00aad6b578474af5863466361fdf649f,12,1,38948677,38948708,600.908736,459.630288,684.4680960000001,448.01748,31,84.36245582754498
83,00aad6b578474af5863466361fdf649f,12,1,38949045,38949317,684.4680960000001,448.01748,642.00096,487.70834399999995,272,58.12763822063476
83,00aad6b578474af5863466361fdf649f,13,1,38949045,38949317,684.4680960000001,448.01748,642.00096,487.70834399999995,272,58.12763822063476
84,00aad6b578474af5863466361fdf649f,13,1,38949620,38949652,642.00096,487.70834399999995,753.380352,458.56314000000003,32,115.1295438994322
85,00aad6b578474af5863466361fdf649f,13,1,38949828,38949988,753.380352,458.56314000000003,627.828672,453.96061199999997,160,125.63601241209939
86,00aad6b578474af5863466361fdf649f,14,1,38950324,38950452,627.828672,453.96061199999997,830.399232,470.863368,128,203.2745309651682
87,00aad6b578474af5863466361fdf649f,14,1,38951028,38951236,830.399232,470.863368,590.569536,454.216248,208,240.4067588229308
88,00aad6b578474af5863466361fdf649f,14,1,38951492,38951797,590.569536,454.216248,811.84512,488.99862,305,223.99262817442772
89,00aad6b578474af5863466361fdf649f,14,1,38951892,38952372,811.84512,488.99862,573.87168,479.506824,480,238.16265940894095
90,00aad6b578474af5863466361fdf649f,15,1,38952596,38952805,573.87168,479.506824,875.890944,479.083356,209,302.0195608768557
91,00aad6b578474af5863466361fdf649f,15,1,38953044,38953572,875.890944,479.083356,549.0750720000001,430.991604,528,330.3353308405715
92,00aad6b578474af5863466361fdf649f,15,1,38953812,38953908,549.0750720000001,430.991604,639.548544,416.58926399999996,96,91.61264395928308
93,00aad6b578474af5863466361fdf649f,15,1,38954148,38954244,639.548544,416.58926399999996,731.126208,369.747288,96,102.86223436850607
94,00aad6b578474af5863466361fdf649f,15,1,38954340,38954372,731.126208,369.747288,730.639872,417.263616,32,47.518816791966515
95,00aad6b578474af5863466361fdf649f,15,1,38954484,38954580,730.639872,417.263616,936.635904,430.81956,96,206.44158693799116
96,00aad6b578474af5863466361fdf649f,15,1,38955955,38955989,936.635904,430.81956,1147.2666239999999,388.149408,34,214.9093810875213
97,00aad6b578474af5863466361fdf649f,15,1,38956195,38956228,1147.2666239999999,388.149408,1220.736,400.51162800000003,33,74.50217240562729
98,00aad6b578474af5863466361fdf649f,15,1,38956387,38956420,1220.736,400.51162800000003,1291.433664,422.5716,33,74.05944949631782
99,00aad6b578474af5863466361fdf649f,15,1,38956563,38956597,1291.433664,422.5716,1324.802112,455.87577600000003,34,47.14468645529096
100,00aad6b578474af5863466361fdf649f,15,1,38956754,38957187,1324.802112,455.87577600000003,551.274048,776.3362920000001,433,837.2816778782243
101,00aad6b578474af5863466361fdf649f,15,1,38957300,38957460,551.274048,776.3362920000001,565.370496,432.759456,160,343.8658925831227
102,00aad6b578474af5863466361fdf649f,16,2,38957556,38957732,565.370496,432.759456,765.763776,354.837024,176,215.01016738273805
103,00aad6b578474af5863466361fdf649f,16,2,38957828,38958067,765.763776,354.837024,556.878912,384.54264,239,210.9865162284973
104,00aad6b578474af5863466361fdf649f,16,2,38958340,38958372,556.878912,384.54264,661.415616,391.453236,32,104.76487398101918
105,00aad6b578474af5863466361fdf649f,16,2,38958468,38958499,661.415616,391.453236,730.8917759999999,415.94007600000003,31,73.66506730826485
106,00aad6b578474af5863466361fdf649f,16,2,38958675,38958803,730.8917759999999,415.94007600000003,973.697088,780.816564,128,438.2799003269845
107,00aad6b578474af5863466361fdf649f,16,2,38959044,38959139,973.697088,780.816564,743.717568,421.14502799999997,95,426.91239549587885
108,00aad6b578474af5863466361fdf649f,16,2,38959234,38959300,743.717568,421.14502799999997,759.47808,489.95225999999997,66,70.58915578191856
109,00aad6b578474af5863466361fdf649f,16,2,38959412,38959508,759.47808,489.95225999999997,809.4906239999999,413.787852,96,91.11680198153572
110,00aad6b578474af5863466361fdf649f,16,2,38959778,38960004,809.4906239999999,413.787852,789.299904,432.67068,226,27.64464446137773
111,00aad6b578474af5863466361fdf649f,16,2,38960115,38960148,789.299904,432.67068,634.235136,440.206704,33,155.24778237586
112,00aad6b578474af5863466361fdf649f,16,2,38960420,38961283,634.235136,440.206704,-97.1786688,111.282444,863,801.9708988913252
113,00aad6b578474af5863466361fdf649f,16,2,38961380,38962627,-97.1786688,111.282444,817.224768,591.933852,1247,1033.0340852285728
114,00aad6b578474af5863466361fdf649f,16,2,38962754,38962899,817.224768,591.933852,967.36896,747.11322,145,215.92571556952697
115,00aad6b578474af5863466361fdf649f,16,2,38962995,38963460,967.36896,747.11322,887.180928,638.0738279999999,465,135.35032132862742
116,00aad6b578474af5863466361fdf649f,16,2,38963764,38963796,887.180928,638.0738279999999,977.03808,701.7454439999999,32,110.12893556918893
117,00aad6b578474af5863466361fdf649f,16,2,38964260,38964308,977.03808,701.7454439999999,958.613568,798.368292,48,98.36380125874186
118,00aad6b578474af5863466361fdf649f,16,2,38964740,38964899,958.613568,798.368292,928.502976,810.588924,159,32.496024327137135
119,00aad6b578474af5863466361fdf649f,16,2,38964997,38965701,928.502976,810.588924,947.298048,792.089712,704,26.371870925403268
120,00aad6b578474af5863466361fdf649f,16,2,38965811,38965844,947.298048,792.089712,878.083776,795.3793919999999,33,69.2924053774466
121,00aad6b578474af5863466361fdf649f,16,2,38965940,38965971,878.083776,795.3793919999999,966.256896,802.2957120000001,31,88.4439628967224
122,00aad6b578474af5863466361fdf649f,16,2,38966179,38966276,966.256896,802.2957120000001,958.2748799999999,831.79062,97,30.55588613267032
123,00aad6b578474af5863466361fdf649f,16,2,38966404,38966451,958.2748799999999,831.79062,943.23168,819.050616,47,19.713081143241272
124,00aad6b578474af5863466361fdf649f,16,2,38966580,38966707,943.23168,819.050616,757.917312,475.749396,127,390.12452196795806
125,00aad6b578474af5863466361fdf649f,16,2,38966916,38967108,757.917312,475.749396,769.2710400000001,438.800112,192,38.6543235306303
126,00aad6b578474af5863466361fdf649f,17,2,38967411,38967443,769.2710400000001,438.800112,663.19104,457.997652,32,107.80311656928852
127,00aad6b578474af5863466361fdf649f,17,2,38967557,38967587,663.19104,457.997652,594.9542399999999,457.05751200000003,30,68.24327613369407
128,00aad6b578474af5863466361fdf649f,17,2,38967683,38968083,594.9542399999999,457.05751200000003,530.079552,789.278688,400,338.49613723929
129,00aad6b578474af5863466361fdf649f,17,2,38968420,38968516,530.079552,789.278688,916.7412479999999,819.0045,96,387.80264446320587
130,00aad6b578474af5863466361fdf649f,17,2,38968661,38968884,916.7412479999999,819.0045,695.438208,460.409184,223,421.38537726217015
131,00aad6b578474af5863466361fdf649f,17,2,38969029,38969524,695.438208,460.409184,691.0675200000001,450.9972,495,10.377300053944621
132,00aad6b578474af5863466361fdf649f,17,2,38969635,38969764,691.0675200000001,450.9972,927.182208,769.277304,129,396.2983352117292
133,00aad6b578474af5863466361fdf649f,17,2,38969892,38969973,927.182208,769.277304,650.4758400000001,442.172952,81,428.4433115233464
134,00aad6b578474af5863466361fdf649f,18,2,38970292,38970403,650.4758400000001,442.172952,587.91552,474.955272,111,70.62913098067118
135,00aad6b578474af5863466361fdf649f,18,2,38970563,38971507,587.91552,474.955272,473.180544,802.2225960000001,944,346.79679363546836
136,00aad6b578474af5863466361fdf649f,18,2,38971636,38971747,473.180544,802.2225960000001,515.1936000000001,804.804984,111,42.09234612422649
137,00aad6b578474af5863466361fdf649f,18,2,38972148,38972308,515.1936000000001,804.804984,984.942336,810.856332,160,469.7877114040071
138,00aad6b578474af5863466361fdf649f,18,2,38972516,38972773,984.942336,810.856332,682.9591680000001,469.347372,257,455.87520607683604
139,00aad6b578474af5863466361fdf649f,19,2,38973012,38973380,682.9591680000001,469.347372,863.1340799999999,429.265332,368,184.57943776263187
140,00aad6b578474af5863466361fdf649f,19,2,38973555,38973715,863.1340799999999,429.265332,601.16832,435.474252,160,262.03932929990486
141,00aad6b578474af5863466361fdf649f,19,2,38973988,38974019,601.16832,435.474252,705.579648,419.546736,31,105.61917998476339
142,00aad6b578474af5863466361fdf649f,19,2,38974116,38974148,705.579648,419.546736,710.474304,473.420916,32,54.096071280923276
143,00aad6b578474af5863466361fdf649f,19,2,38974357,38974517,710.474304,473.420916,673.687872,465.61554,160,37.605391552169735
144,00aad6b578474af5863466361fdf649f,19,2,38974628,38974787,673.687872,465.61554,960.659328,797.330412,159,438.61985005781065
145,00aad6b578474af5863466361fdf649f,19,2,38975089,38975219,960.659328,797.330412,842.552064,499.485312,130,320.40759885429634
146,00aad6b578474af5863466361fdf649f,19,2,38975331,38975365,842.552064,499.485312,847.8343679999999,440.94229199999995,34,58.78084659367219
147,00aad6b578474af5863466361fdf649f,19,2,38975524,38975733,847.8343679999999,440.94229199999995,653.865024,427.89297600000003,209,194.40779577953705
148,00aad6b578474af5863466361fdf649f,19,2,38975828,38976133,653.865024,427.89297600000003,717.04704,431.017308,305,63.25921748069993
148,00aad6b578474af5863466361fdf649f,20,1,38975828,38976133,653.865024,427.89297600000003,717.04704,431.017308,305,63.25921748069993
149,00aad6b578474af5863466361fdf649f,20,1,38976437,38976468,717.04704,431.017308,762.2496,446.050476,31,47.63682998132663
150,00aad6b578474af5863466361fdf649f,20,1,38976629,38976660,762.2496,446.050476,577.14336,439.961436,31,185.2063619184265
151,00aad6b578474af5863466361fdf649f,20,1,38976997,38977301,577.14336,439.961436,539.80128,783.855144,304,345.91518229287897
152,00aad6b578474af5863466361fdf649f,20,1,38977571,38977603,539.80128,783.855144,613.4150400000001,458.42695199999997,32,333.6502567206063
153,00aad6b578474af5863466361fdf649f,21,1,38978147,38978244,613.4150400000001,458.42695199999997,603.910464,436.73558399999996,97,23.682322746115958
154,00aad6b578474af5863466361fdf649f,21,1,38978373,38978404,603.910464,436.73558399999996,703.214592,439.52641200000005,31,99.34333676078113
155,00aad6b578474af5863466361fdf649f,21,1,38978580,38978676,703.214592,439.52641200000005,824.1943679999999,437.23886400000004,96,121.00140113594742
156,00aad6b578474af5863466361fdf649f,21,1,38979009,38979075,824.1943679999999,437.23886400000004,688.5834239999999,450.89135999999996,66,136.2964371493296
157,00aad6b578474af5863466361fdf649f,21,1,38979587,38979620,688.5834239999999,450.89135999999996,820.301376,454.25685599999997,33,131.76094050362704
158,00aad6b578474af5863466361fdf649f,21,1,38979813,38979925,820.301376,454.25685599999997,636.067584,468.269208,112,184.7658954549545
159,00aad6b578474af5863466361fdf649f,21,1,38980324,38980452,636.067584,468.269208,541.432704,781.554636,128,327.26674122152644
160,00aad6b578474af5863466361fdf649f,21,1,38980548,38980787,541.432704,781.554636,591.356544,423.942876,239,361.07971514700625
160,00aad6b578474af5863466361fdf649f,22,1,38980548,38980787,541.432704,781.554636,591.356544,423.942876,239,361.07971514700625
161,00aad6b578474af5863466361fdf649f,22,1,38981060,38981188,591.356544,423.942876,634.34016,451.200888,128,50.89784339859204
162,00aad6b578474af5863466361fdf649f,22,1,38981428,38981459,634.34016,451.200888,773.088576,444.375828,31,138.91617755507335
163,00aad6b578474af5863466361fdf649f,22,1,38981764,38981892,773.088576,444.375828,638.671296,454.04150400000003,128,134.76435157390614
164,00aad6b578474af5863466361fdf649f,23,3,38982435,38982707,638.671296,454.04150400000003,525.1050240000001,818.99478,272,382.21485031211193
165,00aad6b578474af5863466361fdf649f,23,3,38982836,38982932,525.1050240000001,818.99478,946.285632,811.86624,96,421.24092944273724
166,00aad6b578474af5863466361fdf649f,23,3,38983139,38983301,946.285632,811.86624,1356.808896,777.906288,162,411.92551344272914
167,00aad6b578474af5863466361fdf649f,23,3,38983476,38983731,1356.808896,777.906288,630.343296,510.63048,255,774.0727520882083
168,00aad6b578474af5863466361fdf649f,23,3,38983875,38983908,630.343296,510.63048,689.118144,429.54807600000004,33,100.14409116788825
169,00aad6b578474af5863466361fdf649f,23,3,38984372,38984613,689.118144,429.54807600000004,879.23712,787.509324,241,405.3165184211051
170,00aad6b578474af5863466361fdf649f,23,3,38984708,38984884,879.23712,787.509324,1331.209152,815.4122040000001,176,452.8325169668178
171,00aad6b578474af5863466361fdf649f,23,3,38985012,38985043,1331.209152,815.4122040000001,1394.874048,817.2849239999999,31,63.69243332523271
172,00aad6b578474af5863466361fdf649f,23,3,38985283,38985523,1394.874048,817.2849239999999,670.688448,447.363864,240,813.19516346255
172,00aad6b578474af5863466361fdf649f,24,2,38985283,38985523,1394.874048,817.2849239999999,670.688448,447.363864,240,813.19516346255
173,00aad6b578474af5863466361fdf649f,24,2,38985715,38985749,670.688448,447.363864,533.88288,451.794888,34,136.87730786909566
174,00aad6b578474af5863466361fdf649f,24,2,38985843,38986019,533.88288,451.794888,824.49888,450.53085599999997,176,290.6187489356064
175,00aad6b578474af5863466361fdf649f,24,2,38986116,38986181,824.49888,450.53085599999997,903.252672,464.19426,65,79.93027188272586
176,00aad6b578474af5863466361fdf649f,24,2,38986596,38986996,903.252672,464.19426,540.786816,835.664256,400,519.0100718618596
177,00aad6b578474af5863466361fdf649f,24,2,38987189,38987332,540.786816,835.664256,901.517376,812.496204,143,361.4737826611887
178,00aad6b578474af5863466361fdf649f,24,2,38987556,38987763,901.517376,812.496204,643.955328,438.405372,207,454.18295780049533
178,00aad6b578474af5863466361fdf649f,25,2,38987556,38987763,901.517376,812.496204,643.955328,438.405372,207,454.18295780049533
179,00aad6b578474af5863466361fdf649f,25,2,38987955,38988131,643.955328,438.405372,800.977536,417.730392,176,158.37748767800193
180,00aad6b578474af5863466361fdf649f,25,2,38988260,38988323,800.977536,417.730392,965.143488,452.7468,63,167.85889498411692
181,00aad6b578474af5863466361fdf649f,25,2,38988531,38988564,965.143488,452.7468,1049.469696,425.304324,33,88.67919059548215
182,00aad6b578474af5863466361fdf649f,25,2,38988772,38989076,1049.469696,425.304324,945.507648,454.82742,304,108.07275614963996
183,00aad6b578474af5863466361fdf649f,25,2,38989267,38989476,945.507648,454.82742,507.065664,811.9224,209,565.4628175884394
184,00aad6b578474af5863466361fdf649f,25,2,38989635,38990068,507.065664,811.9224,806.5559039999999,406.253232,433,504.24386731131375
185,00aad6b578474af5863466361fdf649f,25,2,38990181,38990440,806.5559039999999,406.253232,945.78624,470.544444,259,153.3572508983578
