saccade_ser,Id,QuestionsNum,Answer,stime,etime,sxp,syp,exp,eyp,dur,ampl
37,00a45dae43da4bd9b262e11f4db1b6c0,4,1,23007961,23008105,719.45376,456.483924,485.607552,777.5925480000001,144,397.23393284455534
38,00a45dae43da4bd9b262e11f4db1b6c0,4,1,23008601,23008634,485.607552,777.5925480000001,624.03936,458.52901199999997,33,347.800094121569
39,00a45dae43da4bd9b262e11f4db1b6c0,5,1,23008938,23008969,624.03936,458.52901199999997,549.7578239999999,445.517064,31,75.41258105431751
40,00a45dae43da4bd9b262e11f4db1b6c0,5,1,23010041,23010074,549.7578239999999,445.517064,684.6579839999999,450.365724,33,134.98726855456113
41,00a45dae43da4bd9b262e11f4db1b6c0,5,1,23010217,23010249,684.6579839999999,450.365724,743.520192,450.681084,32,58.863052779862386
42,00a45dae43da4bd9b262e11f4db1b6c0,5,1,23010555,23010986,743.520192,450.681084,647.906112,473.997636,431,98.41602456620107
43,00a45dae43da4bd9b262e11f4db1b6c0,6,1,23011322,23011353,647.906112,473.997636,505.78425599999997,455.62964400000004,31,143.30389067641119
44,00a45dae43da4bd9b262e11f4db1b6c0,6,1,23011784,23011818,505.78425599999997,455.62964400000004,556.621632,449.96806799999996,34,51.15165922400908
45,00a45dae43da4bd9b262e11f4db1b6c0,6,1,23012089,23012122,556.621632,449.96806799999996,638.2765440000001,444.583296,33,81.83227006028697
46,00a45dae43da4bd9b262e11f4db1b6c0,6,1,23012361,23012393,638.2765440000001,444.583296,740.52,441.21942,32,102.29877788403581
47,00a45dae43da4bd9b262e11f4db1b6c0,6,1,23012795,23012890,740.52,441.21942,494.956608,746.915256,95,392.11136637221387
48,00a45dae43da4bd9b262e11f4db1b6c0,6,1,23013194,23013434,494.956608,746.915256,507.577152,454.887468,240,292.3003713562965
49,00a45dae43da4bd9b262e11f4db1b6c0,7,1,23014841,23014937,507.577152,454.887468,491.840832,740.0574720000001,96,285.6038566765205
50,00a45dae43da4bd9b262e11f4db1b6c0,7,1,23015033,23015145,491.840832,740.0574720000001,602.117568,455.80914,112,304.89026345161625
51,00a45dae43da4bd9b262e11f4db1b6c0,7,1,23016681,23016714,602.117568,455.80914,792.2256000000001,453.60215999999997,33,190.12084207585832
52,00a45dae43da4bd9b262e11f4db1b6c0,7,1,23017451,23017995,792.2256000000001,453.60215999999997,469.2048,479.67897600000003,544,324.0716549859582
53,00a45dae43da4bd9b262e11f4db1b6c0,8,1,23018089,23018122,469.2048,479.67897600000003,501.13132800000005,430.50042,33,58.63304154126686
54,00a45dae43da4bd9b262e11f4db1b6c0,8,1,23018520,23018553,501.13132800000005,430.50042,576.465408,444.97263599999997,33,76.71159394379086
55,00a45dae43da4bd9b262e11f4db1b6c0,8,1,23018697,23018730,576.465408,444.97263599999997,648.3496319999999,451.740348,33,72.20210236410783
56,00a45dae43da4bd9b262e11f4db1b6c0,8,1,23019257,23019705,648.3496319999999,451.740348,599.973888,469.774836,448,51.62804823906938
57,00a45dae43da4bd9b262e11f4db1b6c0,9,1,23020041,23020073,599.973888,469.774836,496.42175999999995,443.69316,32,106.7862211912069
58,00a45dae43da4bd9b262e11f4db1b6c0,9,1,23020330,23020377,496.42175999999995,443.69316,568.056576,450.37987200000003,47,71.94622283848403
59,00a45dae43da4bd9b262e11f4db1b6c0,9,1,23020698,23020746,568.056576,450.37987200000003,722.6304,448.65003600000006,48,154.58350299617967
60,00a45dae43da4bd9b262e11f4db1b6c0,9,1,23021273,23021370,722.6304,448.65003600000006,500.11679999999996,742.4320680000001,97,368.53790105090826
61,00a45dae43da4bd9b262e11f4db1b6c0,9,1,23021705,23021738,500.11679999999996,742.4320680000001,563.677248,461.345544,33,288.1832134673415
62,00a45dae43da4bd9b262e11f4db1b6c0,10,1,23022745,23022777,563.677248,461.345544,705.8624639999999,451.697688,32,142.51216360143923
63,00a45dae43da4bd9b262e11f4db1b6c0,10,1,23023754,23023849,705.8624639999999,451.697688,519.8355839999999,748.022688,95,349.8778439792014
64,00a45dae43da4bd9b262e11f4db1b6c0,10,1,23024058,23024122,519.8355839999999,748.022688,593.83488,464.105592,64,293.4021356595225
65,00a45dae43da4bd9b262e11f4db1b6c0,11,1,23025738,23025769,593.83488,464.105592,794.9800319999999,474.13609199999996,31,201.39509205378636
66,00a45dae43da4bd9b262e11f4db1b6c0,11,1,23026106,23026202,794.9800319999999,474.13609199999996,494.577408,777.7381320000001,96,427.1017855245363
